time,throughput,throughputAbs,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,-nan,0
0.2,0,0,0,0,0
0.4,0,0,0,0,0
0.6,0,0,0,0,0
0.8,0,0,0,0,0
1,0,0,0,0,0
1.2,6.79004,5.85185,0,0,0
1.4,6.79004,5.01587,0,0,0
1.6,6.79004,4.38889,0,0,0
1.8,6.79004,3.90123,0,0,0
2,6.79004,3.51111,0,0,0
2.2,7.33344,6.58586,0.0189556,0.00947778,0
2.4,7.4158,6.11111,0.0189556,0.00947778,0
2.6,7.4158,5.64103,0.0189556,0.00947778,0
2.8,7.4158,5.2381,0.0189556,0.00947778,0
3,7.4158,4.88889,0.0189556,0.00947778,0
3.2,7.55516,6.91667,0.0438778,0.0153111,0
3.4,7.55516,6.5098,0.0438778,0.0153111,0
3.6,7.55516,6.14815,0.0438778,0.0153111,0
3.8,7.55516,5.82456,0.0438778,0.0153111,0
4,7.55516,5.53333,0.0438778,0.0153111,0
4.2,7.59256,6.96296,0.0679222,0.0178917,0
4.4,7.57166,6.66667,0.0691,0.0182657,0
4.6,7.57166,6.37681,0.0691,0.0182657,0
4.8,7.57166,6.11111,0.0691,0.0182657,0
5,7.57166,5.86667,0.0691,0.0182657,0
5.2,7.58197,7.17521,0.0912111,0.0194648,0
5.4,7.58197,6.90947,0.0912111,0.0194648,0
5.6,7.58197,6.6627,0.0912111,0.0194648,0
5.8,7.58197,6.43295,0.0912111,0.0194648,0
6,7.58197,6.21852,0.0912111,0.0194648,0
6.2,7.57748,7.18817,0.1156,0.0205556,0
6.4,7.57748,6.96354,0.1156,0.0205556,0
6.6,7.57748,6.75253,0.1156,0.0205556,0
6.8,7.57748,6.55392,0.1156,0.0205556,0
7,7.57748,6.36667,0.1156,0.0205556,0
7.2,7.56446,7.27315,0.143122,0.021786,0
7.4,7.56446,7.07658,0.143122,0.021786,0
7.6,7.56446,6.89035,0.143122,0.021786,0
7.8,7.56446,6.71368,0.143122,0.021786,0
8,7.56446,6.54583,0.143122,0.021786,0
8.2,7.54782,7.3103,0.169378,0.0223596,0
8.4,7.54782,7.13624,0.169378,0.0223596,0
8.6,7.54782,6.97028,0.169378,0.0223596,0
8.8,7.54782,6.81187,0.169378,0.0223596,0
9,7.54782,6.66049,0.169378,0.0223596,0
9.2,7.59302,7.35024,0.192711,0.0224313,0
9.4,7.59302,7.19385,0.192711,0.0224313,0
9.6,7.59302,7.04398,0.192711,0.0224313,0
9.8,7.59302,6.90023,0.192711,0.0224313,0
10,7.59302,6.76222,0.192711,0.0224313,0
10.2,7.61154,7.41939,0.216189,0.0225844,0
10.4,7.61154,7.27671,0.216189,0.0225844,0
10.6,7.61154,7.13941,0.216189,0.0225844,0
10.8,7.61154,7.0072,0.216189,0.0225844,0
11,7.61154,6.8798,0.216189,0.0225844,90
11.2,7.62586,7.43651,0.241656,0.0229273,90
11.4,7.61527,7.31481,0.242811,0.0231428,90
11.6,7.61527,7.1887,0.242811,0.0231428,90
11.8,7.61527,7.06685,0.242811,0.0231428,90
12,7.61527,6.94907,0.242811,0.0231428,101
12.2,7.62329,7.4745,0.266856,0.0232343,101
12.4,7.62329,7.35394,0.266856,0.0232343,101
12.6,7.62329,7.23721,0.266856,0.0232343,101
12.8,7.62329,7.12413,0.266856,0.0232343,101
13,7.62329,7.01453,0.266856,0.0232343,105
13.2,7.6376,7.46886,0.290244,0.0233165,105
13.4,7.6376,7.35738,0.290244,0.0233165,105
13.6,7.6376,7.24918,0.290244,0.0233165,105
13.8,7.6376,7.14412,0.290244,0.0233165,105
14,7.6376,7.04206,0.290244,0.0233165,111
14.2,7.64606,7.47183,0.312833,0.0234738,111
14.4,7.64154,7.37423,0.313578,0.0235348,111
14.6,7.64154,7.27321,0.313578,0.0235348,111
14.8,7.64154,7.17492,0.313578,0.0235348,111
15,7.64154,7.07926,0.313578,0.0235348,120
15.2,7.62713,7.47003,0.338144,0.0236773,120
15.4,7.62459,7.37951,0.339044,0.0237543,120
15.6,7.62459,7.2849,0.339044,0.0237543,120
15.8,7.62459,7.19269,0.339044,0.0237543,120
16,7.62459,7.10278,0.339044,0.0237543,129
16.2,7.61137,7.47394,0.366,0.0241609,129
16.4,7.61137,7.38279,0.366,0.0241609,129
16.6,7.61137,7.29384,0.366,0.0241609,129
16.8,7.61137,7.20701,0.366,0.0241609,129
17,7.61137,7.12222,0.366,0.0241609,138
17.2,7.59857,7.45413,0.389522,0.0242173,138
17.4,7.59857,7.36845,0.389522,0.0242173,138
17.6,7.59857,7.28472,0.389522,0.0242173,138
17.8,7.59857,7.20287,0.389522,0.0242173,138
18,7.59857,7.12284,0.389522,0.0242173,141
18.2,7.60378,7.45055,0.413844,0.0242463,141
18.4,7.60378,7.36957,0.413844,0.0242463,141
18.6,7.60378,7.29032,0.413844,0.0242463,141
18.8,7.60378,7.21277,0.413844,0.0242463,141
19,7.60378,7.13684,0.413844,0.0242463,146
19.2,7.60339,7.49016,0.437433,0.0242397,146
19.4,7.60073,7.4181,0.438067,0.0242663,146
19.6,7.60073,7.3424,0.438067,0.0242663,146
19.8,7.60073,7.26824,0.438067,0.0242663,146
20,7.60073,7.19556,0.438067,0.0242663,150
20.2,7.60073,7.12431,0.438067,0.0242663,150
20.4,7.60073,7.05447,0.438067,0.0242663,150
20.6,7.60073,6.98598,0.438067,0.0242663,150
