time,throughput,throughputAbs,accJitter,meanJitter,lostPackets
20.8,7.60073,6.9188,0.438067,0.0242663,150
21,7.60073,6.85291,0.438067,0.0242663,158
21.2,7.60073,6.78826,0.438067,0.0242663,158
21.4,7.60073,6.72482,0.438067,0.0242663,158
21.6,7.60073,6.66255,0.438067,0.0242663,158
21.8,7.60073,6.60143,0.438067,0.0242663,158
22,7.60073,6.54141,0.438067,0.0242663,162
22.2,7.60073,6.48248,0.438067,0.0242663,162
22.4,7.60073,6.4246,0.438067,0.0242663,162
22.6,7.60073,6.36775,0.438067,0.0242663,162
22.8,7.60073,6.31189,0.438067,0.0242663,162
23,7.60073,6.257,0.438067,0.0242663,165
23.2,7.60073,6.20307,0.438067,0.0242663,165
23.4,7.60073,6.15005,0.438067,0.0242663,165
23.6,7.60073,6.09793,0.438067,0.0242663,165
23.8,7.60073,6.04669,0.438067,0.0242663,165
24,7.60073,5.9963,0.438067,0.0242663,172
24.2,7.60073,5.94674,0.438067,0.0242663,172
24.4,7.60073,5.898,0.438067,0.0242663,172
24.6,7.60073,5.85005,0.438067,0.0242663,172
24.8,7.60073,5.80287,0.438067,0.0242663,172
25,7.60073,5.75644,0.438067,0.0242663,185
25.2,7.60073,5.71076,0.438067,0.0242663,185
25.4,7.60073,5.66579,0.438067,0.0242663,185
25.6,7.60073,5.62153,0.438067,0.0242663,185
25.8,7.60073,5.57795,0.438067,0.0242663,185
26,7.60073,5.53504,0.438067,0.0242663,192
26.2,7.60073,5.49279,0.438067,0.0242663,192
26.4,7.60073,5.45118,0.438067,0.0242663,192
26.6,7.60073,5.41019,0.438067,0.0242663,192
26.8,7.60073,5.36982,0.438067,0.0242663,192
27,7.60073,5.33004,0.438067,0.0242663,199
27.2,7.60073,5.29085,0.438067,0.0242663,199
27.4,7.60073,5.25223,0.438067,0.0242663,199
27.6,7.60073,5.21417,0.438067,0.0242663,199
27.8,7.60073,5.17666,0.438067,0.0242663,199
28,7.60073,5.13968,0.438067,0.0242663,209
28.2,7.60073,5.10323,0.438067,0.0242663,209
28.4,7.60073,5.06729,0.438067,0.0242663,209
28.6,7.60073,5.03186,0.438067,0.0242663,209
28.8,7.60073,4.99691,0.438067,0.0242663,209
29,7.60073,4.96245,0.438067,0.0242663,216
29.2,7.60073,4.92846,0.438067,0.0242663,216
29.4,7.60073,4.89494,0.438067,0.0242663,216
29.6,7.60073,4.86186,0.438067,0.0242663,216
29.8,7.60073,4.82923,0.438067,0.0242663,216
30,7.60073,4.79704,0.438067,0.0242663,221
30.2,7.60073,4.76527,0.438067,0.0242663,221
30.4,7.60073,4.73392,0.438067,0.0242663,221
30.6,7.60073,4.70298,0.438067,0.0242663,221
30.8,7.60073,4.67244,0.438067,0.0242663,221
31,7.60073,4.64229,0.438067,0.0242663,221
31.2,7.60073,4.61254,0.438067,0.0242663,221
31.4,7.60073,4.58316,0.438067,0.0242663,221
31.6,7.60073,4.55415,0.438067,0.0242663,221
31.8,7.60073,4.52551,0.438067,0.0242663,221
32,7.60073,4.49722,0.438067,0.0242663,221
32.2,7.60073,4.46929,0.438067,0.0242663,221
32.4,7.60073,4.4417,0.438067,0.0242663,221
32.6,7.60073,4.41445,0.438067,0.0242663,221
32.8,7.60073,4.38753,0.438067,0.0242663,221
33,7.60073,4.36094,0.438067,0.0242663,221
33.2,7.60073,4.33467,0.438067,0.0242663,221
33.4,7.60073,4.30872,0.438067,0.0242663,221
33.6,7.60073,4.28307,0.438067,0.0242663,221
33.8,7.60073,4.25773,0.438067,0.0242663,221
34,7.60073,4.23268,0.438067,0.0242663,221
34.2,7.60073,4.20793,0.438067,0.0242663,221
34.4,7.60073,4.18346,0.438067,0.0242663,221
34.6,7.60073,4.15928,0.438067,0.0242663,221
34.8,7.60073,4.13538,0.438067,0.0242663,221
35,7.60073,4.11175,0.438067,0.0242663,221
35.2,7.60073,4.08838,0.438067,0.0242663,221
35.4,7.60073,4.06529,0.438067,0.0242663,221
35.6,7.60073,4.04245,0.438067,0.0242663,221
35.8,7.60073,4.01986,0.438067,0.0242663,221
36,7.60073,3.99753,0.438067,0.0242663,221
36.2,7.60073,3.97545,0.438067,0.0242663,221
36.4,7.60073,3.9536,0.438067,0.0242663,221
36.6,7.60073,3.932,0.438067,0.0242663,221
36.8,7.60073,3.91063,0.438067,0.0242663,221
37,7.60073,3.88949,0.438067,0.0242663,221
37.2,7.60073,3.86858,0.438067,0.0242663,221
37.4,7.60073,3.84789,0.438067,0.0242663,221
37.6,7.60073,3.82742,0.438067,0.0242663,221
37.8,7.60073,3.80717,0.438067,0.0242663,221
38,7.60073,3.78713,0.438067,0.0242663,221
38.2,7.60073,3.76731,0.438067,0.0242663,221
38.4,7.60073,3.74769,0.438067,0.0242663,221
38.6,7.60073,3.72827,0.438067,0.0242663,221
38.8,7.60073,3.70905,0.438067,0.0242663,221
39,7.60073,3.69003,0.438067,0.0242663,221
39.2,7.60073,3.6712,0.438067,0.0242663,221
39.4,7.60073,3.65257,0.438067,0.0242663,221
39.6,7.60073,3.63412,0.438067,0.0242663,221
39.8,7.60073,3.61586,0.438067,0.0242663,221
