time,throughput,accJitter,meanJitter,lostPackets
26.4,7.59046,0.616956,0.0253094,192
26.6,7.59046,0.616956,0.0253094,192
26.8,7.59046,0.616956,0.0253094,192
27,7.59046,0.616956,0.0253094,199
27.2,7.60784,0.640633,0.0252421,199
27.4,7.60784,0.640633,0.0252421,199
27.6,7.60784,0.640633,0.0252421,199
27.8,7.60784,0.640633,0.0252421,199
28,7.60784,0.640633,0.0252421,209
28.2,7.60612,0.665878,0.0252225,209
28.4,7.60612,0.665878,0.0252225,209
28.6,7.60612,0.665878,0.0252225,209
28.8,7.60612,0.665878,0.0252225,209
29,7.60612,0.665878,0.0252225,216
29.2,7.6263,0.689667,0.025163,216
29.4,7.6263,0.689667,0.025163,216
29.6,7.6263,0.689667,0.025163,216
29.8,7.6263,0.689667,0.025163,216
30,7.6263,0.689667,0.025163,221
30.2,7.643,0.710378,0.0250145,221
30.4,7.643,0.710378,0.0250145,221
30.6,7.643,0.710378,0.0250145,221
30.8,7.643,0.710378,0.0250145,221
31,7.643,0.710378,0.0250145,249
31.2,7.64354,0.734511,0.0249831,249
31.4,7.64354,0.734511,0.0249831,249
31.6,7.64354,0.734511,0.0249831,249
31.8,7.64354,0.734511,0.0249831,249
32,7.64354,0.734511,0.0249831,254
32.2,7.65653,0.758867,0.0249447,254
32.4,7.65653,0.758867,0.0249447,254
32.6,7.65653,0.758867,0.0249447,254
32.8,7.65653,0.758867,0.0249447,254
33,7.65653,0.758867,0.0249447,260
33.2,7.67079,0.779411,0.0248193,260
33.4,7.67079,0.779411,0.0248193,260
33.6,7.67079,0.779411,0.0248193,260
33.8,7.67079,0.779411,0.0248193,260
34,7.67079,0.779411,0.0248193,263
34.2,7.67781,0.803456,0.0248029,263
34.4,7.67781,0.803456,0.0248029,263
34.6,7.67781,0.803456,0.0248029,263
34.8,7.67781,0.803456,0.0248029,263
35,7.67781,0.803456,0.0248029,265
35.2,7.68952,0.8302,0.0248675,265
35.4,7.68952,0.8302,0.0248675,265
35.6,7.68952,0.8302,0.0248675,265
35.8,7.68952,0.8302,0.0248675,265
36,7.68952,0.8302,0.0248675,266
36.2,7.7031,0.852089,0.024775,266
36.4,7.7031,0.852089,0.024775,266
36.6,7.7031,0.852089,0.024775,266
36.8,7.7031,0.852089,0.024775,266
37,7.7031,0.852089,0.024775,268
37.2,7.71581,0.874467,0.0247094,268
37.4,7.71581,0.874467,0.0247094,268
37.6,7.71581,0.874467,0.0247094,268
37.8,7.71581,0.874467,0.0247094,268
38,7.71581,0.874467,0.0247094,272
38.2,7.72108,0.897411,0.0246551,272
38.4,7.72108,0.897411,0.0246551,272
38.6,7.72108,0.897411,0.0246551,272
38.8,7.72108,0.897411,0.0246551,272
39,7.72108,0.897411,0.0246551,273
39.2,7.73304,0.919856,0.0246052,273
39.4,7.73304,0.919856,0.0246052,273
39.6,7.73304,0.919856,0.0246052,273
39.8,7.73304,0.919856,0.0246052,273
