time,throughput,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,0
0.2,0,0,0,0
0.4,0,0,0,0
0.6,0,0,0,0
0.8,0,0,0,0
1,0,0,0,0
1.2,7.1755,0,0,0
1.4,7.1755,0,0,0
1.6,7.1755,0,0,0
1.8,7.1755,0,0,0
2,7.1755,0,0,0
2.2,7.67217,0.0007,0.00035,0
2.4,7.67217,0.0007,0.00035,0
2.6,7.67217,0.0007,0.00035,0
2.8,7.67217,0.0007,0.00035,0
3,7.67217,0.0007,0.00035,0
3.2,7.86499,0.0107,0.00523333,0
3.4,7.86499,0.0107,0.00523333,0
3.6,7.86499,0.0107,0.00523333,0
3.8,7.86499,0.0107,0.00523333,0
4,7.86499,0.0107,0.00523333,0
4.2,7.95268,0.0107,0.00350833,0
4.4,7.95268,0.0107,0.00350833,0
4.6,7.95268,0.0107,0.00350833,0
4.8,7.95268,0.0107,0.00350833,0
5,7.95268,0.0107,0.00350833,0
5.2,7.96367,0.0107,0.00347333,0
5.4,7.96367,0.0107,0.00347333,0
5.6,7.96367,0.0107,0.00347333,0
5.8,7.96367,0.0107,0.00347333,0
6,7.96367,0.0107,0.00347333,0
6.2,7.89581,0.0207,0.00511667,0
6.4,7.89581,0.0207,0.00511667,0
6.6,7.89581,0.0207,0.00511667,0
6.8,7.89581,0.0207,0.00511667,0
7,7.89581,0.0207,0.00511667,0
7.2,7.94933,0.0307,0.0061,0
7.4,7.94933,0.0307,0.0061,0
7.6,7.94933,0.0307,0.0061,0
7.8,7.94933,0.0307,0.0061,0
8,7.94933,0.0307,0.0061,0
8.2,7.98286,0.0307,0.0050875,0
8.4,7.98286,0.0307,0.0050875,0
8.6,7.98286,0.0307,0.0050875,0
8.8,7.98286,0.0307,0.0050875,0
9,7.98286,0.0307,0.0050875,0
9.2,8.00897,0.0307,0.00436349,0
9.4,8.00897,0.0307,0.00436349,0
9.6,8.00897,0.0307,0.00436349,0
9.8,8.00897,0.0307,0.00436349,0
