time,throughput,throughputAbs,accJitter,meanJitter,lostPackets
21.4,7.58543,7.37425,0.48573,0.0244788,155
21.6,7.58543,7.30597,0.48573,0.0244788,155
21.8,7.58543,7.23894,0.48573,0.0244788,155
22,7.58543,7.17314,0.48573,0.0244788,160
22.2,7.57097,7.43446,0.509112,0.0245611,160
22.4,7.57097,7.36808,0.509112,0.0245611,160
22.6,7.57097,7.30287,0.509112,0.0245611,160
22.8,7.57097,7.23881,0.509112,0.0245611,160
23,7.57097,7.17587,0.509112,0.0245611,167
23.2,7.55723,7.46368,0.534528,0.0246608,167
23.4,7.55723,7.39988,0.534528,0.0246608,167
23.6,7.55723,7.33717,0.534528,0.0246608,167
23.8,7.55723,7.27552,0.534528,0.0246608,167
24,7.55723,7.21489,0.534528,0.0246608,174
24.2,7.55671,7.46634,0.559629,0.0247512,174
24.4,7.55671,7.40514,0.559629,0.0247512,174
24.6,7.55671,7.34493,0.559629,0.0247512,174
24.8,7.55671,7.2857,0.559629,0.0247512,174
25,7.55671,7.22742,0.559629,0.0247512,183
25.2,7.55234,7.46745,0.584663,0.0248547,183
25.4,7.55234,7.40865,0.584663,0.0248547,183
25.6,7.55234,7.35077,0.584663,0.0248547,183
25.8,7.55234,7.29379,0.584663,0.0248547,183
26,7.55234,7.23768,0.584663,0.0248547,191
26.2,7.55972,7.45947,0.608236,0.0248843,191
26.4,7.55972,7.40296,0.608236,0.0248843,191
26.6,7.55972,7.3473,0.608236,0.0248843,191
26.8,7.55972,7.29247,0.608236,0.0248843,191
27,7.55972,7.23845,0.608236,0.0248843,197
27.2,7.55872,7.46365,0.632629,0.0248879,197
27.4,7.55872,7.40917,0.632629,0.0248879,197
27.6,7.55872,7.35548,0.632629,0.0248879,197
27.8,7.55872,7.30256,0.632629,0.0248879,197
28,7.55872,7.2504,0.632629,0.0248879,205
28.2,7.56624,7.47749,0.657247,0.0249758,205
28.4,7.56624,7.42483,0.657247,0.0249758,205
28.6,7.56624,7.37291,0.657247,0.0249758,205
28.8,7.56624,7.32171,0.657247,0.0249758,205
29,7.56624,7.27121,0.657247,0.0249758,212
29.2,7.5584,7.47922,0.681045,0.0249746,212
29.4,7.54411,7.43178,0.682258,0.0250778,212
29.6,7.54411,7.38157,0.682258,0.0250778,212
29.8,7.54411,7.33203,0.682258,0.0250778,212
30,7.54411,7.28315,0.682258,0.0250778,222
30.2,7.54956,7.47637,0.705011,0.0250671,222
30.4,7.54956,7.42719,0.705011,0.0250671,222
30.6,7.54956,7.37864,0.705011,0.0250671,222
30.8,7.54956,7.33073,0.705011,0.0250671,222
31,7.54956,7.28344,0.705011,0.0250671,232
31.2,7.55402,7.47731,0.728191,0.0250537,232
31.4,7.55402,7.42969,0.728191,0.0250537,232
31.6,7.55402,7.38266,0.728191,0.0250537,232
31.8,7.55402,7.33623,0.728191,0.0250537,232
32,7.55402,7.29038,0.728191,0.0250537,243
32.2,7.55582,7.49703,0.752787,0.0251292,243
32.4,7.55582,7.45076,0.752787,0.0251292,243
32.6,7.55582,7.40505,0.752787,0.0251292,243
32.8,7.55582,7.35989,0.752787,0.0251292,243
33,7.55582,7.31529,0.752787,0.0251292,252
33.2,7.55997,7.49865,0.776146,0.0250915,252
33.4,7.55997,7.45374,0.776146,0.0250915,252
33.6,7.55997,7.40938,0.776146,0.0250915,252
33.8,7.55997,7.36553,0.776146,0.0250915,252
34,7.55997,7.32221,0.776146,0.0250915,259
34.2,7.56727,7.49589,0.800764,0.0251404,259
34.4,7.56727,7.45231,0.800764,0.0251404,259
34.6,7.56727,7.40924,0.800764,0.0251404,259
34.8,7.56727,7.36665,0.800764,0.0251404,259
35,7.56727,7.32456,0.800764,0.0251404,265
35.2,7.57087,7.49106,0.823764,0.025144,265
35.4,7.57155,7.45128,0.824348,0.0251641,265
35.6,7.57155,7.40942,0.824348,0.0251641,265
35.8,7.57155,7.36802,0.824348,0.0251641,265
36,7.57155,7.32709,0.824348,0.0251641,271
36.2,7.56168,7.49146,0.84882,0.0251801,271
36.4,7.56168,7.4503,0.84882,0.0251801,271
36.6,7.56168,7.40959,0.84882,0.0251801,271
36.8,7.56168,7.36932,0.84882,0.0251801,271
37,7.56168,7.32949,0.84882,0.0251801,280
37.2,7.55673,7.51329,0.873348,0.02519,280
37.4,7.55673,7.47311,0.873348,0.02519,280
37.6,7.55673,7.43336,0.873348,0.02519,280
37.8,7.55673,7.39403,0.873348,0.02519,280
38,7.55673,7.35512,0.873348,0.02519,285
38.2,7.55949,7.51721,0.896708,0.0251562,285
38.4,7.55949,7.47805,0.896708,0.0251562,285
38.6,7.55949,7.43931,0.896708,0.0251562,285
38.8,7.55949,7.40096,0.896708,0.0251562,285
39,7.55949,7.36301,0.896708,0.0251562,295
39.2,7.56746,7.50688,0.919663,0.025126,295
39.4,7.56746,7.46877,0.919663,0.025126,295
39.6,7.56746,7.43105,0.919663,0.025126,295
39.8,7.56746,7.39371,0.919663,0.025126,295
